hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,Change,CG Bla,FG D z,RATE.NND
3.45,1120,0,12,,,3.5,-0.05,0,2.97,0.48,G
3.86,1240,4,16,4,3,3.231,0.629,0,3.394,0.466,G
3.3,950,1,12,,,3.833,-0.533,0,3.729,-0.429,N
3.69,1300,2,16,4,4,3,0.69,1,2.188,1.502,N
2.8,1100,0,16,5,0,0,2.8,0,3.833,-1.033,N
3.4,1080,4,16,2,4,3.063,0.337,0,3.455,-0.055,G
3.7,1030,3,16,4,3,3.563,0.137,1,3.132,0.568,G
2.5,980,2,15,4,0,2.417,0.083,1,2.282,0.218,G
3.94,1140,1,16,2,4,4,-0.06,0,3.771,0.169,G
3,1030,2,16,1,2,2.125,0.875,0,2.547,0.453,N
2.9,1040,0,17,1,0,0,2.9,1, ,2.9,N
3.59,920,0,16,4,2,2.813,0.777,1,2.897,0.693,G
3.93,1210,4,16,4,4,3.625,0.305,0,3.248,0.682,G
3.97,1080,0,16,1,3,2.667,1.303,0, ,3.97,N
3,1110,3,15,4,2,2.8,0.2,0,2.93,0.07,G
3,890,1,16,1,3,2.625,0.375,1,2.625,0.375,N
3.3,960,4,16,2,1,2,1.3,0,2.653,0.647,G
3.24,890,0,12,1,2,1.583,1.657,0,1.583,1.657,N
3.23,1180,3,16,2,4,4,-0.77,0,4,-0.77,G
3.17,1070,2,16,2,3,2.667,0.503,0,2.833,0.337,N
3.8,1170,0,16,4,4,3.625,0.175,1,2.87,0.93,G
3.81,1140,3,17,4,3,3.286,0.524,0,3.717,0.093,G
3,1040,0,15,4,2,2.933,0.067,0,2.683,0.317,N
3,1190,1,15,2,3,2.4,0.6,0,2.048,0.952,N
3.65,1280,0,16,4,4,3.625,0.025,0,3.282,0.368,G
2.43,900,0,14,1,0,0,2.43,0, ,2.43,N
3.79,1120,4,15,4,4,3.2,0.59,1,3.662,0.128,G
3.52,810,0,15,2,0,2.714,0.806,0,3.22,0.3,G
3.57,1280,4,16,4,4,3.125,0.445,1,3.125,0.445,N
3.5,1250,2,16,4,4,3.813,-0.313,1,3.492,0.008,G
3.34,950,3,15,,,2,1.34,0,3.171,0.169,G
3.9,1220,4,16,4,2,2.5,1.4,0,1.433,2.467,N
2.48,880,2,13,1,2,3.077,-0.597,0,2.071,0.409,N
3.3,1100,3,15,2,2,2,1.3,0,1.889,1.411,N
3.7,950,4,16,2,3,3.25,0.45,1,3.333,0.367,G
3.94,1350,0,17,4,4,3.786,0.154,1,3.858,0.082,G
2.8,890,2,17,4,1,1.882,0.918,0, ,2.8,N
3.91,1120,0,16,1,4,3.625,0.285,0,3.023,0.887,G
3.74,1220,4,16,2,3,2.867,0.873,1,3.478,0.262,G
3.21,650,0,16,2,2,2.25,0.96,0,2.47,0.74,G
3.57,1020,4,17,4,0,0.941,2.629,0,0.941,2.629,N
2.91,740,0,12,,,3,-0.09,0,3,-0.09,N
1.75,1240,0,16,,,3,-1.25,1,2.914,-1.164,N
3.3,920,4,16,3,4,2.583,0.717,0,3,0.3,G
3.34,1140,2,16,2,3,2.833,0.507,1,3.643,-0.303,G
3.3,1100,4,17,4,1,2.143,1.157,0,3.48,-0.18,G
2.99,870,2,14,2,3,1.071,1.919,0,2.585,0.405,G
3.35,1190,4,15,1,2,1.067,2.283,1,1.067,2.283,N
3.56,1050,3,16,4,1,2.5,1.06,0,2.509,1.051,N
2.3,1270,0,16,1,1,1.8,0.5,0,1.8,0.5,N
3,880,2,14,4,1,2.071,0.929,1,2.1,0.9,N
2.99,680,3,17,1,2,2.471,0.519,0,3.264,-0.274,G
3.26,1060,0,15,4,2,2.917,0.343,0,2.872,0.388,G
2.783,990,4,17,1,2,1.824,0.959,0,2.538,0.245,G
3.3,980,1,16,4,2,1.5,1.8,0,1.4,1.9,N
3.21,910,0,14,2,0,1.846,1.364,0,2.711,0.499,G
3.22,1170,4,16,2,1,1.4,1.82,0,3,0.22,N
3.9,840,0,16,3,0,3.563,0.337,0,3.563,0.337,N
2.81,1110,0,16,2,0,0,2.81,1, ,2.81,N
3.9,1190,3,16,4,2,2.25,1.65,0,2.553,1.347,N
2.59,1070,3,17,2,0,1.733,0.857,1,1.733,0.857,N
3.76,1280,1,17,2,2,3.313,0.447,0,3.704,0.056,G
3.7,1120,3,16,2,3,3.467,0.233,1,3.33,0.37,G
2.98,780,2,13,2,0,0.231,2.749,0, ,2.98,N
2.71,740,2,14,1,3,2.357,0.353,0,2.69,0.02,G
2.92,1070,2,17,1,0,0.643,2.277,0,0.692,2.228,N
3,900,2,13,1,4,2.769,0.231,1,2.33,0.67,G
2.98,880,4,15,4,2,1.667,1.313,0,1.667,1.313,N
2.34,940,4,15,4,1,1.25,1.09,1,1.619,0.721,N
3.3,1330,4,16,4,3,3.188,0.112,0,3.188,0.112,N
3.45,930,3,17,4,0,0,3.45,0, ,3.45,N
3.9,920,4,16,4,0,0,3.9,0, ,3.9,N
2.74,850,4,17,1,3,1.235,1.505,1,2.209,0.531,G
3.37,1330,1,16,4,3,2.438,0.932,1,2.058,1.312,N
1.7,1130,4,17,4,4,2.882,-1.182,0,2.43,-0.73,G
2.93,970,0,16,2,0,1.765,1.165,0,1.765,1.165,N
2.64,810,4,14,1,0,1.231,1.409,0,1.231,1.409,N
2.31,1060,2,16,,,2.6,-0.29,1,2.6,-0.29,N
2.57,820,3,13,2,1,1.923,0.647,0,1.923,0.647,N
2.42,700,0,12,,,1.917,0.503,0,2,0.42,G
2.62,900,4,16,2,0,1.385,1.235,0,1.385,1.235,N
2.69,1260,4,14,2,3,3.429,-0.739,0,2.184,0.506,N
2.55,950,3,16,1,0,2.692,-0.142,0,1.903,0.647,N
2.3,820,0,16,1,0,0,2.3,0, ,2.3,N
3.28,870,3,16,1,3,3.063,0.217,0,2.794,0.486,G
3.96,930,1,15,3,4,3.75,0.21,0,3.512,0.448,G
2.67,860,1,15,1,0,0,2.67,0, ,2.67,N
2.66,830,0,15,1,2,3.2,-0.54,1,3.168,-0.508,G
3.05,870,3,16,1,0,2.438,0.612,0, ,3.05,N
2.15,1000,4,15,2,0,2.2,-0.05,0,2.2,-0.05,N
3.3,1350,0,16,2,2,2.4,0.9,0,2.606,0.694,G
3.87,1080,4,16,4,3,3.563,0.307,0,2.958,0.912,G
3.41,1050,4,14,1,0,1.357,2.053,0,2.412,0.998,G
3.25,1180,4,16,,,3.4,-0.15,0,3.301,-0.051,G
2.88,750,3,14,,,2.75,0.13,1,2.28,0.6,G
3.1,900,3,13,2,3,3.077,0.023,0,3.063,0.037,G
3.95,1440,0,16,4,4,4,-0.05,0,2.963,0.987,G
2.93,1090,3,15,4,3,2.2,0.73,0,2.748,0.182,G
3,970,1,16,4,2,2.2,0.8,1,2.2,0.8,N
2.81,1000,2,17,2,2,1.5,1.31,1,1.5,1.31,N
3.38,1500,4,16,4,1,2,1.38,0, ,3.38,N
3.72,1340,2,17,4,0,1.571,2.149,0, ,3.72,N
3.7,940,0,17,2,3,2.25,1.45,1,3.056,0.644,G
4,1220,4,14,4,4,4,0,0,3.91,0.09,G
3.69,1200,1,16,2,2,2.6,1.09,0,2.981,0.709,G
3.36,950,0,17,4,0,0.643,2.717,1,0.643,2.717,N
2.94,1210,2,13,2,4,2.917,0.023,0,3.241,-0.301,G
3.3,1180,2,13,2,0,1.231,2.069,0,1.231,2.069,N
3.41,1060,3,16,2,2,2.313,1.097,1,2.538,0.872,N
2.72,860,3,15,1,1,1.857,0.863,0, ,2.72,N
3.2,1210,0,14,,,0.857,2.343,1, ,3.2,N
3.15,1210,4,16,4,2,2.125,1.025,0,1.344,1.806,N
3.47,1030,4,16,1,3,3.067,0.403,1,3.148,0.322,N
3.08,1080,0,19,3,4,0,3.08,0,2.617,0.463,G
3.3,850,2,14,1,4,2.786,0.514,0,2.877,0.423,G
3.5,1240,2,16,4,3,2.813,0.687,1,2.831,0.669,G
3.3,1050,4,14,2,4,4,-0.7,0,3.302,-0.002,G
3.94,1170,1,17,1,4,2.538,1.402,0,2.922,1.018,G
3.41,850,4,16,2,4,2.867,0.543,0,2.867,0.543,N
2.19,1260,3,17,4,3,1.643,0.547,0,1.643,0.547,N
2.7,1060,1,17,2,1,2.563,0.137,0,2.642,0.058,G
3.75,850,4,16,1,0,0.267,3.483,0, ,3.75,N
3.75,1210,3,16,4,4,3.688,0.062,1,2.725,1.025,G
3.75,1040,4,15,2,1,2.357,1.393,0,1.929,1.821,N
4,1340,3,16,4,4,3.625,0.375,1,3.591,0.409,G
3.28,1030,3,16,4,1,1.938,1.342,1,2.708,0.572,G
3.1,1150,0,16,1,0,0.063,3.037,0,0.063,3.037,N
3.09,990,0,16,1,4,1.313,1.777,0,2.662,0.428,N
4,1390,0,16,2,4,4,0,1,3.968,0.032,G
3.6,850,3,16,1,1,2.8,0.8,1,2.721,0.879,G
3,840,0,16,1,0,1.5,1.5,0,1.878,1.122,N
2.81,1060,0,16,4,1,1.538,1.272,1,1.538,1.272,N
3.64,1140,2,13,2,0,0,3.64,1, ,3.64,N
3.86,1140,4,16,4,4,3.438,0.422,0,2.919,0.941,G
2.89,1070,0,16,4,3,2.875,0.015,1,3.05,-0.16,G
3.02,1180,4,17,4,1,1.429,1.591,0, ,3.02,N
3.4,1120,0,13,1,0,0.231,3.169,0, ,3.4,N
3.84,1360,4,15,4,4,3.714,0.126,1,3.61,0.23,G
3.2,850,3,17,4,0,1.143,2.057,0,1.92,1.28,N
3.76,1170,0,17,4,4,3.647,0.113,0,3.647,0.113,N
3.7,910,3,15,4,4,3.417,0.283,1,2.905,0.795,N
2.95,1140,0,15,3,0,0.438,2.512,1, ,2.95,N
2.9,1100,0,16,4,1,1.615,1.285,0,1.2,1.7,N
2.7,860,3,16,2,4,1.933,0.767,0,1.958,0.742,N
3.89,1360,2,17,4,4,3.118,0.772,0,3.117,0.773,N
3.39,810,4,15,1,3,2.143,1.247,0,1.964,1.426,N
3.01,1030,1,15,4,3,2.4,0.61,0,2.56,0.45,G
