hsgpa,SUPER V,SUPER M,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 ,gradeN,1TG Bla,1T GD b,Change,RATE
3.45,540,580,3880,0,12,,,,3.5,-0.05,0,G
3.3,500,500,3590,1,12,,,,3.833,-0.533,0,N
3.4,590,590,3800,4,16,2,111,4,3.063,0.337,0,G
3.94,580,580,4292,1,16,2,112,4,4,-0.06,0,G
3,510,520,3430,2,16,1,6,2,2.125,0.875,0,N
2.9,600,440,3360,0,17,1,6,0, ,,1,N
3.97,580,500,4256,0,16,1,6,3,2.667,1.303,0,N
3,470,420,3290,1,16,1,6,3,2.625,0.375,1,N
3.3,470,520,3600,4,16,2,111,1,2,1.3,0,G
3.23,640,640,3764,3,16,2,111,4,4,-0.77,0,G
3.17,510,580,3606,2,16,2,111,3,2.667,0.503,0,N
2.43,480,480,2844,0,14,1,6,0, ,,0,N
3.52,420,420,3626,0,15,2,111,0,2.714,0.806,0,G
3.34,470,480,3622,3,15,,,,2,1.34,0,G
3.3,570,570,3740,3,15,2,111,2,2,1.3,0,N
3.7,470,480,3910,4,16,2,111,3,3.25,0.45,1,G
3.91,660,460,4248,0,16,1,6,4,3.625,0.285,0,G
3.74,630,590,4212,4,16,2,112,3,2.867,0.873,1,G
3.21,380,380,3218,0,16,2,112,2,2.25,0.96,0,G
2.91,380,380,3068,0,12,,,,3,-0.09,0,N
1.75,640,600,2640,0,16,,,,3,-1.25,1,N
3.3,470,450,3560,4,16,3,241,4,2.583,0.717,0,G
3.34,580,560,3812,2,16,2,112,3,2.833,0.507,1,G
2.99,560,560,3262,2,14,2,112,3,1.071,1.919,0,G
2.3,720,550,3110,0,16,1,6,1,1.8,0.5,0,N
2.99,380,380,3072,3,17,1,6,2,2.471,0.519,0,G
2.783,520,520,3216.4,4,17,1,6,2,1.824,0.959,0,G
3.21,470,440,3478,0,14,2,111,0,1.846,1.364,0,G
2.81,580,600,3358,0,16,2,111,0,0,2.81,1,N
2.59,590,480,3142,3,17,2,111,0,1.733,0.857,1,N
3.76,650,650,4288,1,17,2,112,2,3.313,0.447,0,G
3.7,540,580,4080,3,16,2,112,3,3.467,0.233,1,G
2.98,410,410,3164,2,13,2,111,0,0.231,2.749,0,N
2.71,380,380,2908,2,14,1,6,3,2.357,0.353,0,G
2.92,550,550,3406,2,17,1,6,0,0.643,2.277,0,N
2.74,460,460,3042,4,17,1,6,3,1.235,1.505,1,G
2.93,490,480,3314,0,16,2,111,0,1.765,1.165,0,N
2.64,390,420,2922,4,14,1,6,0,1.231,1.409,0,N
2.31,550,550,2908,2,16,,,,2.6,-0.29,1,N
2.57,420,400,2876,3,13,2,112,1,1.923,0.647,0,N
2.42,370,370,2636,0,12,,,,1.917,0.503,0,G
2.62,450,450,2996,4,16,2,112,0,1.385,1.235,0,N
2.69,660,600,3412,4,14,2,112,3,3.429,-0.739,0,N
2.55,510,440,2990,3,16,1,6,0,2.692,-0.142,0,N
3.28,480,480,3494,3,16,1,6,3,3.063,0.217,0,G
3.96,550,550,4098,1,15,3,241,4,3.75,0.21,0,G
2.67,360,500,2996,1,15,1,6,0, ,,0,N
2.66,420,420,2958,0,15,1,6,2,3.2,-0.54,1,G
3.05,450,420,3310,3,16,1,6,0,2.438,0.612,0,N
