hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 name,gradeN,1TG Bla,1T GD z,Change,RATE
2.24,560,540,1100,2984,2892,4,15,4,College Algebra,4,3.667,-1.427,0,N
2.48,630,630,1120,3238,3104,4,15,4,College Algebra,4,3.8,-1.32,0,G
1.7,610,610,1130,2760,2490,4,17,4,Calculus & Analytical Geom I,4,2.882,-1.182,0,G
2.7,590,590,1080,3290,3240,3,16,4,Calculus & Analytical Geom I,4,3.769,-1.069,1,N
2.42,590,590,1060,3102,2996,0,16,4,Calculus & Analytical Geom II,3,3.438,-1.018,0,N
2.01,660,660,1260,3126,2868,0,16,4,Calculus & Analytical Geom I,0,3,-0.99,0,N
2.42,630,630,1190,3272,3126,3,15,1,Intermediate Algebra,4,3.067,-0.647,0,N
2.48,460,460,880,2828,2864,2,13,1,Intermediate Algebra,2,3.077,-0.597,0,N
3.23,650,530,1180,3648,3764,2,15,1,Intermediate Algebra,4,3.8,-0.57,1,G
3.6,590,590,1140,3890,4020,1,15,4,College Algebra,4,4,-0.4,0,G
2.82,580,650,1230,3572,3486,0,16,4,Calculus & Analytical Geom II,3,3.188,-0.368,0,G
3.05,620,620,1240,3690,3680,0,17,4,Calculus & Analytical Geom I,3,3.412,-0.362,1,G
3.48,640,640,1200,3928,3984,1,16,4,Calculus & Analytical Geom II,4,3.813,-0.333,0,G
3.31,590,580,1170,3736,3818,0,16,4,Calculus & Analytical Geom II,4,3.625,-0.315,0,G
3.5,730,730,1250,4080,4050,2,16,4,Calculus & Analytical Geom I,4,3.813,-0.313,1,G
3.5,630,630,1240,3970,4040,4,16,4,Calculus & Analytical Geom III,4,3.813,-0.313,0,G
3.3,570,570,1130,3680,3770,3,12,1,Intermediate Algebra,4,3.583,-0.283,0,G
3.53,590,590,1010,3718,3834,3,15,4,College Algebra,4,3.8,-0.27,0,G
3.55,650,630,1280,4040,4120,4,16,4,Calculus & Analytical Geom I,4,3.813,-0.263,0,N
3.54,730,780,1390,4294,4222,0,15,4,Calculus & Analytical Geom III,4,3.8,-0.26,0,N
3.56,670,670,1150,3956,3998,1,16,4,Calculus & Analytical Geom I,4,3.813,-0.253,1,N
3.76,770,680,1450,4386,4458,3,15,5,Differential Eq & Matrix Meth,4,4,-0.24,0,N
3.76,700,700,1320,4276,4328,2,16,4,Calculus & Analytical Geom III,4,4,-0.24,1,G
3.21,600,600,1110,3636,3678,4,14,4,Calculus & Analytical Geom II,3,3.429,-0.219,0,G
3.61,620,620,1090,3876,3978,3,17,4,Calculus & Analytical Geom III,4,3.824,-0.214,0,G
2.3,430,440,840,2660,2680,0,14,2,College Math for Aviation I,0,2.5,-0.2,0,N
3.8,750,790,1430,4500,4470,0,17,4,Calculus & Analytical Geom II,4,4,-0.2,1,G
3.01,530,530,1030,3366,3438,2,15,3,College Algebra,2,3.2,-0.19,1,N
3,630,680,1200,3680,3600,3,16,4,Calculus & Analytical Geom I,3,3.188,-0.188,0,G
3.46,690,690,1350,4116,4118,3,16,4,Calculus & Analytical Geom I,4,3.625,-0.165,1,G
3.84,640,640,1200,4144,4272,2,16,4,Calculus & Analytical Geom I,4,4,-0.16,0,G
3.86,680,680,1310,4306,4398,4,16,4,Calculus & Analytical Geom I,4,4,-0.14,1,G
3.36,680,680,1260,3956,3948,4,16,4,Calculus & Analytical Geom III,4,3.5,-0.14,0,G
3.46,520,620,1140,3836,3908,3,17,4,Calculus & Analytical Geom I,4,3.6,-0.14,0,G
3.68,670,670,1270,4148,4214,3,16,4,Calculus & Analytical Geom I,4,3.813,-0.133,1,G
3.87,620,600,1220,4142,4316,4,14,4,Calculus & Analytical Geom I,4,4,-0.13,0,G
2.81,520,520,1020,3226,3268,1,15,4,Calculus & Analytical Geom I,3,2.933,-0.123,0,G
3.88,650,650,1230,4208,4334,3,17,4,Calculus & Analytical Geom III,4,4,-0.12,1,G
3.01,650,680,1150,3636,3558,0,16,4,Calculus & Analytical Geom I,4,3.125,-0.115,0,N
3.7,710,710,1220,4150,4180,4,16,4,Calculus & Analytical Geom I,4,3.813,-0.113,0,G
3.7,710,710,1320,4250,4280,0,16,4,Calculus & Analytical Geom I,4,3.813,-0.113,1,N
3.89,720,680,1400,4414,4512,0,14,4,Calculus & Analytical Geom III,4,4,-0.11,0,G
3.56,680,680,1240,4056,4088,3,15,4,Calculus & Analytical Geom III,4,3.667,-0.107,1,G
3.71,550,620,1140,3986,4108,4,16,4,Calculus & Analytical Geom I,4,3.813,-0.103,0,G
3.9,730,730,1390,4460,4510,4,16,4,Calculus & Analytical Geom III,4,4,-0.1,1,G
2.67,340,460,800,2862,2936,1,17,3,Trigonometry,2,2.765,-0.095,0,N
2.68,540,560,1080,3248,3224,0,15,1,Intermediate Algebra,3,2.75,-0.07,0,G
3.94,590,590,1130,4084,4282,4,16,4,Calculus & Analytical Geom I,4,4,-0.06,0,G
3.1,660,470,1130,3460,3610,0,16,4,College Algebra,0,3.154,-0.054,0,G
3.95,720,720,1440,4530,4600,0,16,4,Calculus & Analytical Geom II,4,4,-0.05,0,G
3.95,700,680,1380,4430,4540,4,16,4,Calculus & Analytical Geom III,4,4,-0.05,1,G
3.95,710,710,1360,4440,4520,2,16,4,Calculus & Analytical Geom II,4,4,-0.05,0,G
3.65,660,660,1200,4050,4120,1,16,4,Calculus & Analytical Geom I,4,3.688,-0.038,0,G
3.15,620,620,1070,3580,3590,3,16,4,Calculus & Analytical Geom I,3,3.188,-0.038,0,N
3.97,690,690,1360,4432,4536,0,16,4,Calculus & Analytical Geom II,4,4,-0.03,0,G
3.97,700,700,1370,4452,4546,4,15,4,Calculus & Analytical Geom III,4,4,-0.03,1,G
3.66,650,650,1130,3976,4058,4,16,4,Calculus & Analytical Geom I,4,3.688,-0.028,1,G
4,540,680,1220,4300,4420,4,14,4,Calculus & Analytical Geom II,4,4,0,0,G
4,720,620,1340,4360,4540,2,16,4,Calculus & Analytical Geom I,4,4,0,0,G
4,780,780,1380,4560,4580,2,16,4,Calculus & Analytical Geom II,4,4,0,1,G
4,720,700,1420,4520,4620,3,17,4,Calculus & Analytical Geom II,4,4,0,1,G
4,700,740,1440,4580,4640,4,16,4,Calculus & Analytical Geom III,4,4,0,0,G
3.24,540,540,1080,3564,3672,1,17,4,Calculus & Analytical Geom I,3,3.235,0.005,0,G
3.51,650,650,1280,4036,4088,0,16,4,Calculus & Analytical Geom II,4,3.5,0.01,0,G
