CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
2,3.86,650,650,1240,4206,4328,4,1,1,5,BSAE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,3.231,3.231,0.629,0.629,BSAE,0,0,0,1,127,3.394,3.394,0.466,0.466,G,G
29,3.69,520,780,1300,4294,4252,2,1,2,4,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3,3,0.69,0.69,NDENG,1,0,0,1,68,2.188,2.188,1.502,1.502,N,S
79,3.4,590,590,1080,3710,3800,4,1,2,7,BSATM,16,2,111,College Math for Aviation I,A,4,,,,,3.063,3.063,0.337,0.337,BSATM,0,0,0,0,103,3.455,3.455,-0.055,-0.055,G,G
92,3.7,520,520,1030,3770,3990,3,1,1,7,NDCOE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,3.563,3.563,0.137,0.137,BSHFP,1,1,0,1,88,3.132,3.132,0.568,0.568,G,G
126,2.5,520,460,980,2940,2980,2,1,2,5,BSAE,15,4,140,College Algebra,AU,0,142,Trigonometry,D,1,2.417,2.417,0.083,0.083,BSHFP,1,1,0,1,115,2.282,2.282,0.218,0.218,G,G
140,3,510,520,1030,3350,3430,2,1,2,5,BSATM,16,1,6,Intermediate Algebra,C,2,,,,,2.125,2.125,0.875,0.875,BSATM,0,0,0,0,95,2.547,2.547,0.453,0.453,N,W
165,3.93,640,640,1210,4208,4354,4,1,2,2,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.625,3.625,0.305,0.305,BSAE,0,0,0,1,116,3.248,3.248,0.682,0.682,G,G
189,3,590,520,1110,3430,3510,3,1,2,3,BSSE,15,4,140,College Algebra,C,2,142,Trigonometry,C,2,2.8,2.8,0.2,0.2,BSCE,0,0,0,1,186,2.93,2.93,0.07,0.07,G,G
232,3.3,470,520,960,3460,3600,4,1,2,7,BSAS,16,2,111,College Math for Aviation I,D,1,,,,,2,2,1.3,1.3,BSAS,0,0,0,0,119,2.653,2.653,0.647,0.647,G,G
244,3.23,640,640,1180,3758,3764,3,1,2,2,BSATM,16,2,111,College Math for Aviation I,A,4,,,,,4,4,-0.77,-0.77,BSATM,0,0,0,0,108,4,4,-0.77,-0.77,G,G
