CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
1,3.45,540,580,1120,3770,3880,0,0,2,7,BSBA,12,,,,,,,,,,3.5,3.5,-0.05,-0.05,BSBA,0,0,0,0,117,2.97,2.97,0.48,0.48,G,G
13,3.3,500,500,950,3430,3590,1,1,2,7,BSAMS,12,,,,,,,,,,3.833,3.833,-0.533,-0.533,BSAMS,0,0,0,0,48,3.729,3.729,-0.429,-0.429,N,W
79,3.4,590,590,1080,3710,3800,4,1,2,7,BSATM,16,2,111,College Math for Aviation I,A,4,,,,,3.063,3.063,0.337,0.337,BSATM,0,0,0,0,103,3.455,3.455,-0.055,-0.055,G,G
138,3.94,580,580,1140,4084,4292,1,1,2,7,BSAS,16,2,112,College Math for Aviation II,A,4,,,,,4,4,-0.06,-0.06,BSA,0,0,0,0,135,3.771,3.771,0.169,0.169,G,G
140,3,510,520,1030,3350,3430,2,1,2,5,BSATM,16,1,6,Intermediate Algebra,C,2,,,,,2.125,2.125,0.875,0.875,BSATM,0,0,0,0,95,2.547,2.547,0.453,0.453,N,W
663,2.9,600,440,1040,3220,3360,0,0,2,7,BSATM,17,1,6,Intermediate Algebra,W,0,,,,, ,0,,2.9,BSATM,1,0,0,0,0, ,0,,2.9,N,W
178,3.97,580,500,1080,3962,4256,0,0,1,2,BSAS,16,1,6,Intermediate Algebra,B,3,,,,,2.667,2.667,1.303,1.303,BSAS,0,0,0,0,0, ,0,,3.97,N,W
217,3,470,420,890,3110,3290,1,0,1,9,BSATM,16,1,6,Intermediate Algebra,B,3,,,,,2.625,2.625,0.375,0.375,BSATM,1,0,0,0,16,2.625,2.625,0.375,0.375,N,W
232,3.3,470,520,960,3460,3600,4,1,2,7,BSAS,16,2,111,College Math for Aviation I,D,1,,,,,2,2,1.3,1.3,BSAS,0,0,0,0,119,2.653,2.653,0.647,0.647,G,G
244,3.23,640,640,1180,3758,3764,3,1,2,2,BSATM,16,2,111,College Math for Aviation I,A,4,,,,,4,4,-0.77,-0.77,BSATM,0,0,0,0,108,4,4,-0.77,-0.77,G,G
248,3.17,510,580,1070,3552,3606,2,1,2,7,BSAS,16,2,111,College Math for Aviation I,B,3,,,,,2.667,2.667,0.503,0.503,BSAS,0,0,0,0,30,2.833,2.833,0.337,0.337,N,W
321,2.43,480,480,900,2838,2844,0,0,2,5,BSAS,14,1,6,Intermediate Algebra,W,0,,,,, ,0,,2.43,BSAS,0,0,0,0,0, ,0,,2.43,N,W
360,3.52,420,420,810,3342,3626,0,0,2,2,BSAS,15,2,111,College Math for Aviation I,F,0,,,,,2.714,2.714,0.806,0.806,BSAS,0,0,0,0,130,3.22,3.22,0.3,0.3,G,G
394,3.34,470,480,950,3434,3622,3,1,1,7,BSAS,15,,,,,,,,,,2,2,1.34,1.34,BSHS,0,0,0,0,110,3.171,3.171,0.169,0.169,G,G
422,3.3,570,570,1100,3650,3740,3,1,1,7,BSAS,15,2,111,College Math for Aviation I,C,2,,,,,2,2,1.3,1.3,BSAS,0,0,0,0,27,1.889,1.889,1.411,1.411,N,S
450,3.7,470,480,950,3650,3910,4,1,2,2,BSAS,16,2,111,College Math for Aviation I,B,3,,,,,3.25,3.25,0.45,0.45,BSHS,1,0,0,0,106,3.333,3.333,0.367,0.367,G,G
480,3.91,660,460,1120,3926,4248,0,0,1,5,BSHFP,16,1,6,Intermediate Algebra,A,4,,,,,3.625,3.625,0.285,0.285,BSHFP,0,0,0,0,43,3.023,3.023,0.887,0.887,G,G
500,3.74,630,590,1220,4054,4212,4,1,2,7,BSAS,16,2,112,College Math for Aviation II,B,3,,,,,2.867,2.867,0.873,0.873,BSHFP,1,0,0,0,92,3.478,3.478,0.262,0.262,G,G
