CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
2,3.86,650,650,1240,4206,4328,4,1,1,5,BSAE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,3.231,3.231,0.629,0.629,BSAE,0,0,0,1,127,3.394,3.394,0.466,0.466,G,G
29,3.69,520,780,1300,4294,4252,2,1,2,4,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3,3,0.69,0.69,NDENG,1,0,0,1,68,2.188,2.188,1.502,1.502,N,S
71,2.8,600,500,1100,3280,3340,0,0,2,7,BSAE,16,5,241,Calculus & Analytical Geom I,W,0,142,Trigonometry, ,0, ,0,,2.8,BSAE,0,0,0,1,18,3.833,3.833,-1.033,-1.033,N,W
92,3.7,520,520,1030,3770,3990,3,1,1,7,NDCOE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,3.563,3.563,0.137,0.137,BSHFP,1,1,0,1,88,3.132,3.132,0.568,0.568,G,G
126,2.5,520,460,980,2940,2980,2,1,2,5,BSAE,15,4,140,College Algebra,AU,0,142,Trigonometry,D,1,2.417,2.417,0.083,0.083,BSHFP,1,1,0,1,115,2.282,2.282,0.218,0.218,G,G
152,3.59,490,490,920,3564,3792,0,0,1,2,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.813,2.813,0.777,0.777,BSAE,1,0,0,1,130,2.897,2.897,0.693,0.693,G,G
165,3.93,640,640,1210,4208,4354,4,1,2,2,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.625,3.625,0.305,0.305,BSAE,0,0,0,1,116,3.248,3.248,0.682,0.682,G,G
189,3,590,520,1110,3430,3510,3,1,2,3,BSSE,15,4,140,College Algebra,C,2,142,Trigonometry,C,2,2.8,2.8,0.2,0.2,BSCE,0,0,0,1,186,2.93,2.93,0.07,0.07,G,G
235,3.24,470,420,890,3254,3482,0,0,2,5,BSAE,12,1,6,Intermediate Algebra,C,2,,,,,1.583,1.583,1.657,1.657,BSAE,0,0,0,1,9,1.583,1.583,1.657,1.657,N,S
260,3.8,590,640,1170,4090,4210,0,0,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.625,3.625,0.175,0.175,BSAE,1,0,0,1,123,2.87,2.87,0.93,0.93,G,G
