CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
1,3.45,540,580,1120,3770,3880,0,0,2,7,BSBA,12,,,,,,,,,,3.5,3.5,-0.05,-0.05,BSBA,0,0,0,0,117,2.97,2.97,0.48,0.48,G,G
2,3.86,650,650,1240,4206,4328,4,1,1,5,BSAE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,3.231,3.231,0.629,0.629,BSAE,0,0,0,1,127,3.394,3.394,0.466,0.466,G,G
13,3.3,500,500,950,3430,3590,1,0,2,7,BSAMS,12,,,,,,,,,,3.833,3.833,-0.533,-0.533,BSAMS,0,0,0,0,48,3.729,3.729,-0.429,-0.429,N,W
29,3.69,520,780,1300,4294,4252,2,1,2,4,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3,3,0.69,0.69,NDENG,1,0,0,1,68,2.188,2.188,1.502,1.502,N,S
71,2.8,600,500,1100,3280,3340,0,0,2,7,BSAE,16,5,241,Calculus & Analytical Geom I,W,0,142,Trigonometry, ,0, ,0,,2.8,BSAE,0,0,0,1,18,3.833,3.833,-1.033,-1.033,N,W
79,3.4,590,590,1080,3710,3800,4,1,2,7,BSATM,16,2,111,College Math for Aviation I,A,4,,,,,3.063,3.063,0.337,0.337,BSATM,0,0,0,0,103,3.455,3.455,-0.055,-0.055,G,G
92,3.7,520,520,1030,3770,3990,3,1,1,7,NDCOE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,3.563,3.563,0.137,0.137,BSHFP,1,1,0,1,88,3.132,3.132,0.568,0.568,G,G
126,2.5,520,460,980,2940,2980,2,1,2,5,BSAE,15,4,140,College Algebra,AU,0,142,Trigonometry,D,1,2.417,2.417,0.083,0.083,BSHFP,1,1,0,1,115,2.282,2.282,0.218,0.218,G,G
138,3.94,580,580,1140,4084,4292,1,0,2,7,BSAS,16,2,112,College Math for Aviation II,A,4,,,,,4,4,-0.06,-0.06,BSA,0,0,0,0,135,3.771,3.771,0.169,0.169,G,G
140,3,510,520,1030,3350,3430,2,1,2,5,BSATM,16,1,6,Intermediate Algebra,C,2,,,,,2.125,2.125,0.875,0.875,BSATM,0,0,0,0,95,2.547,2.547,0.453,0.453,N,W
663,2.9,600,440,1040,3220,3360,0,0,2,7,BSATM,17,1,6,Intermediate Algebra,W,0,,,,, ,0,,2.9,BSATM,1,0,0,0,0, ,0,,2.9,N,W
152,3.59,490,490,920,3564,3792,0,0,1,2,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.813,2.813,0.777,0.777,BSAE,1,0,0,1,130,2.897,2.897,0.693,0.693,G,G
165,3.93,640,640,1210,4208,4354,4,1,2,2,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.625,3.625,0.305,0.305,BSAE,0,0,0,1,116,3.248,3.248,0.682,0.682,G,G
178,3.97,580,500,1080,3962,4256,0,0,1,2,BSAS,16,1,6,Intermediate Algebra,B,3,,,,,2.667,2.667,1.303,1.303,BSAS,0,0,0,0,0, ,0,,3.97,N,W
189,3,590,520,1110,3430,3510,3,1,2,3,BSSE,15,4,140,College Algebra,C,2,142,Trigonometry,C,2,2.8,2.8,0.2,0.2,BSCE,0,0,0,1,186,2.93,2.93,0.07,0.07,G,G
217,3,470,420,890,3110,3290,1,0,1,9,BSATM,16,1,6,Intermediate Algebra,B,3,,,,,2.625,2.625,0.375,0.375,BSATM,1,0,0,0,16,2.625,2.625,0.375,0.375,N,W
232,3.3,470,520,960,3460,3600,4,1,2,7,BSAS,16,2,111,College Math for Aviation I,D,1,,,,,2,2,1.3,1.3,BSAS,0,0,0,0,119,2.653,2.653,0.647,0.647,G,G
235,3.24,470,420,890,3254,3482,0,0,2,5,BSAE,12,1,6,Intermediate Algebra,C,2,,,,,1.583,1.583,1.657,1.657,BSAE,0,0,0,1,9,1.583,1.583,1.657,1.657,N,S
244,3.23,640,640,1180,3758,3764,3,1,2,2,BSATM,16,2,111,College Math for Aviation I,A,4,,,,,4,4,-0.77,-0.77,BSATM,0,0,0,0,108,4,4,-0.77,-0.77,G,G
248,3.17,510,580,1070,3552,3606,2,1,2,7,BSAS,16,2,111,College Math for Aviation I,B,3,,,,,2.667,2.667,0.503,0.503,BSAS,0,0,0,0,30,2.833,2.833,0.337,0.337,N,W
260,3.8,590,640,1170,4090,4210,0,0,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.625,3.625,0.175,0.175,BSAE,1,0,0,1,123,2.87,2.87,0.93,0.93,G,G
281,3.81,560,580,1140,4006,4188,3,1,2,7,BSAE,17,4,241,Calculus & Analytical Geom I,B,3,,,,,3.286,3.286,0.524,0.524,BSAS,0,1,0,1,106,3.717,3.717,0.093,0.093,G,G
290,3,530,510,1040,3350,3440,0,0,2,7,BSAE,15,4,140,College Algebra,C,2,142,Trigonometry,B,3,2.933,2.933,0.067,0.067,BSGSIS,0,1,0,1,41,2.683,2.683,0.317,0.317,N,W
301,3,610,610,1190,3600,3590,1,0,2,7,BSAMET,15,2,112,College Math for Aviation II,B,3,,,,,2.4,2.4,0.6,0.6,BSAMET,0,0,0,1,60,2.048,2.048,0.952,0.952,N,W
313,3.65,620,680,1280,4150,4200,0,0,2,9,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.625,3.625,0.025,0.025,BSAE,0,0,0,1,117,3.282,3.282,0.368,0.368,G,G
321,2.43,480,480,900,2838,2844,0,0,2,5,BSAS,14,1,6,Intermediate Algebra,W,0,,,,, ,0,,2.43,BSAS,0,0,0,0,0, ,0,,2.43,N,W
332,3.79,580,580,1120,3974,4152,4,1,2,5,BSCE,15,4,242,Calculus & Analytical Geom II,A,4,,,,,3.2,3.2,0.59,0.59,BSCE,1,0,0,1,95,3.662,3.662,0.128,0.128,G,G
360,3.52,420,420,810,3342,3626,0,0,2,2,BSAS,15,2,111,College Math for Aviation I,F,0,,,,,2.714,2.714,0.806,0.806,BSAS,0,0,0,0,130,3.22,3.22,0.3,0.3,G,G
379,3.57,660,620,1280,4042,4136,4,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.125,3.125,0.445,0.445,BSAE,1,0,0,1,16,3.125,3.125,0.445,0.445,N,W
