CASENUM,Strm,AIDYEAR,INCOME,EFC,FA.IFS,FA.SCH,FA.SUB,FA.UNSUB,FA.PERK,FA.PELL,FA.OTHER
2,FALL 13,2014,0,0,1500,0,0,0,0,0,0
2,SPRING 14,2014,0,0,1500,0,0,0,0,0,0
2,FALL 14,2015,0,0,1500,0,0,0,0,0,0
2,SPRING 15,2015,0,0,1125,0,0,0,0,0,0
3,SPRING 13,2013,43688,3377,0,450,0,0,0,0,0
3,FALL 13,2014,47578,3279,0,0,0,0,0,0,15060
3,SPRING 14,2014,47578,3279,0,0,0,0,0,1198,15060
3,FALL 14,2015,41913,1414,0,0,0,0,0,2140,9690
3,SPRING 15,2015,41913,1414,0,0,0,0,0,2140,9690
4,FALL 12,2013,21893,0,250,0,0,1000,0,0,12924
4,SUMMER 13,2013,21893,0,0,0,875,0,0,0,0
4,FALL 13,2014,20597,0,4250,0,2250,1000,2000,2823,2308
4,SPRING 14,2014,20597,0,4250,0,2250,1000,2000,2822,2308
4,FALL 14,2015,20597,0,4250,0,2250,1000,0,2865,277
4,SPRING 15,2015,20597,0,4250,0,2250,1000,0,2865,277
5,FALL 12,2013,87068,11979,0,750,1750,1000,0,0,15000
5,SPRING 13,2013,87068,11979,1000,0,0,0,0,0,0
5,SUMMER 13,2013,87068,11979,0,0,875,0,0,0,25000
5,FALL 13,2014,87068,11078,4750,0,1750,1000,2000,0,20220
5,SPRING 14,2014,87068,11078,4750,0,1750,1000,2000,0,13881
5,SUMMER 14,2014,87068,11078,0,0,0,0,0,0,34016
5,FALL 14,2015,87068,10665,4750,0,2250,1000,0,0,15856
5,SPRING 15,2015,87068,10665,4750,0,2250,1000,0,0,15856
5,SUMMER 15,2015,87068,10665,0,0,1125,500,0,0,29211
6,FALL 12,2013,161557,22374,0,0,0,0,0,0,17699
6,FALL 13,2014,84450,3531,2250,275,0,0,0,0,0
6,SPRING 14,2014,84450,3531,2250,275,0,0,0,0,0
7,FALL 12,2013,7408,0,0,0,0,0,0,2775,0
7,SPRING 13,2013,7408,0,0,0,0,0,0,0,25449
