CASENUM,hsgpa,HSRANK,act,acteng,actmath,actsci,actsoc,satv,satm,SAT,SEX,ETHNIC,termhrs,ACPROG1,TERM2,CAMPUS2,CLASS2,ACPROG2,CUMHRS2,CUMGPA2,RATE,RATE.WSD,EFC,INCOME,F08TERMGPA
1,3.45,48.3304042179262,25,23,25,27,12, , , ,2,7,12,BSBA,73,1,4,BSBA,117,2.97,2,2, , ,3.5
2,3.86, , , , , , ,590,650,1240,1,5,16,BSAE,77,1,4,BSAE,127,3.394,2,2,0,6832,3.231
3,3.89,8.62944162436548, , , , , ,520,550,1070,2,7,16,BSATM,72,1,4,BSATM,111,4,2,2,28380,133064,4
4,3.3,31.7427385892116,21,19,25, , ,490,600,1090,2,7,14,BSAMET,65,1,1,BSCS,14,2.429,3,3,22639,114058,2.429
5,3.6,5.53745928338762,29,28,28, , ,680,750,1430,2,9,17,BSAE,74,1,4,BSAE,143,3.474,2,2,47470,165094,3.588
6,3.72,9.27021696252466,25,25,28,25,8,490,690,1180,2,7,16,BSME,76,1,4,BSME,146,2.99,2,2,4018,43389,3.5
7,3,68.9944134078212, , , , , ,440,540,980,2,7,14,BSAS,75,1,4,BSAS,125,3.295,2,2,7218,88203,2.929
8,3.7, , , , , , ,580,590,1170,1,7,16,BSAE,74,1,4,BSAE,125,3.222,2,2,18331,85900,3.077
9,3.56,6.65083135391924, , , , , ,480,670,1150,2,4,16,BSAE,79,1,4,BSME,118,2.21,3,4,25157,152090,3.813
10,3.42, ,20,21,17,19,10,470,450,920,2,7,17,BSHS,74,1,4,BSHS,117,3.086,2,2,19360,97460,2.412
11,2.68,70.353982300885,16,15,19, , ,380,420,800,2,7,15,BSAS,65,1,1,BSAS,18,2,3,3, , ,1.75
12,3.81,10.0603621730382,22,21,27, , ,380,600,980,1,7,16,BSAS,74,1,4,BSAS,146,3.115,2,2,41065,124668,3.2
13,3.3,9.55882352941176, , , , , ,450,500,950,2,7,12,BSAMS,70,1,2,BSAMS,48,3.729,3,3,0,37777,3.833
14,3.6,21.3698630136986, , , , , ,600,610,1210,2,7,16,BSAS,75,1,4,BSAS,161,3.864,2,2,45378,123682,3.625
15,3,28.4386617100372, , , , , ,360,410,770,2,5,15,BSATM,65,1,1,BSHS,15,2.133,3,3,8602,57820,2.133
16,3.12,36.7521367521367, , , , , ,400,480,880,2,7,17,BSAS,77,1,4,BSSS,134,3.472,2,2,31535,214605,3.118
17,3.26, , , , , , ,650,590,1240,2,7,16,BSAS,73,1,4,BSA,105,3.495,2,2,3413,14961,3.4
18,3.21, , , , , , ,580,500,1080,2,7,17,BSAS,68,1,2,BSAS,44,2.273,3,3,40567,174297,2.063
19,2.5, ,18,18,21, , ,360,420,780,2,5,15,BSAE,64,1,1,BSAE,6,3.167,3,3,9235,60217, 
20,3.4, , , , , , ,380,400,780,2,9,17,BSAS,76,1,4,BSATM,113,3.018,2,2,23560,119739,2.692
21,3.86,2.30125523012552,28,28,28,27,16,700,660,1360,2,7,16,BSATM,74,1,4,BSATM,115,3.775,2,2,46535,105589,4
22,3.95,9.34065934065934, , , , , ,580,580,1160,2,7,16,NDCOE,64,1,1,NDCOE,0, ,3,3,6371,103697,3.5
23,3.67,21.8611521418021,29,31,25, , , , , ,2,7,16,BSATM,64,1,1,BSATM,0, ,3,3,43657,172238, 
24,2.87,69.0476190476191,17,12,20, , ,290,420,710,2,7,17,BSAS,75,1,4,BSA,120,2.25,2,2,32162,237878,1.875
25,3.47,24.6081504702194,28,29,27,27, , , , ,2,2,16,BSAE,77,1,4,BSEP,118,2.975,2,2,99999,282044,2.923
26,3.94, ,26,26,26,25,14,640,640,1280,2,7,15,BSBA,73,1,4,BSBA,118,3.703,2,2,99999,349513,3.2
27,3.64, ,15,13,18,16,8,340,310,650,2,7,16,BSAS,65,1,1,BSAS,15,2.667,3,3,2891,47915,2.667
28,3.48, ,27,22,24,33,15,550,520,1070,2,7,16,BSAS,75,1,4,BSAS,126,3.403,2,2,99999,1104895,3.067
29,3.69,35.2272727272727,27,22,34, , , , , ,2,4,16,BSAE,74,1,3,NDENG,68,2.188,3,4,0,25534,3
30,2.7,61.2535612535613,22,15,23, , ,540,470,1010,2,7,12,BSAMS,71,1,2,BSAS,56,2.081,3,4,17647,137821,2.583
31,3.93,.152905198776758,30,31,30, , ,660,650,1310,1,7,15,BSEP,74,1,4,BSCM,131,3.469,2,2,6334,76929,3.714
32,3.01,25.8293838862559, , , , , ,390,390,780,2,5,16,BSAE,76,1,4,NDGRU,129,2.661,2,2,3748,69151,2.692
33,3, , , , , , ,460,400,860,2,9,16,BSAS,67,1,2,BSAS,39,3.233,3,3,21482,114860,3.067
34,2.7, ,24,24,23,23,12, , , ,1,9,15,NDCOA,75,1,4,BSA,118,2.602,2,2,6045,61500,1.933
35,3.84,9.30232558139535, , , , , ,730,630,1360,2,3,15,BSAE,74,1,4,BSSP,167,3.61,2,2,746,32796,3.714
36,3.15,38.6430678466077,20,20,20, , ,470,580,1050,2,7,16,BSAS,74,1,4,BSAS,115,3,2,2,99999,483739,2.667
37,3.21,45.3954496208017,28,26,27,31,16, , , ,2,7,16,BSAS,75,2,4,BSA,118,2.867,2,2,18347,94980,1.267
38,3.6, ,22,21,24,21,13,480,540,1020,2,9,16,BSAE,77,1,4,BSAE,138,3.019,2,2,61156,228719,2.75
39,3.9,2.47116968698517,33,34,34,35,15,640,780,1420,2,7,14,BSAE,74,1,4,BSME,157,3.419,2,2,4135,57415,3.357
40,3.21, , , , , , ,270,380,650,2,2,16,BSAS,82,1,4,BSAS,95,2.47,1,1, , ,2.25
41,3.47,31.0483870967742, , , , , ,510,520,1030,2,7,16,BSAE,67,1,2,BSAS,33,3.148,3,3,100,9325,3.067
42,3,12.8787878787879, , , , , ,320,400,720,2,7,14,BSAS,77,1,3,BSATM,85,2.228,3,3,99999,374755,1.231
43,3.66, ,25,23,29,22,14,470,640,1110,2,7,16,BSAS,76,1,4,BSAS,119,3.347,2,2,99999,944500,3.125
44,3.13,57.7319587628866,25,21,25, , , , , ,2,7,15,BSSE,65,1,1,BSSE,15,1.533,3,4,2917,42919,1.533
45,3.7,24.7148288973384, , , , , ,590,600,1190,2,7,16,BSAS,73,1,4,BSASP,118,3.301,2,2,21986,158450,2.867
46,3.83,1.27388535031847,31,34,32,25,17,580,610,1190,1,9,17,BSAE,73,1,4,BSAE,142,3.356,2,2,1103,29814,3.588
47,3.81,7.25806451612903,23,26,24, , ,680,600,1280,2,7,16,BSAE,77,1,4,BSSS,132,2.562,2,2,18757,135280,2.077
