DISC,CRS,crs_name,grade,CASENUM
MA,241,Calculus & Analytical Geom I,B,2
MA,111,College Math for Aviation I,A,3
MA,142,Trigonometry,B,4
MA,242,Calculus & Analytical Geom II,B,5
MA,242,Calculus & Analytical Geom II,A,6
MA,112,College Math for Aviation II,D,7
MA,242,Calculus & Analytical Geom II,B,8
MA,241,Calculus & Analytical Geom I,A,9
MA,006,Intermediate Algebra,D,10
MA,112,College Math for Aviation II,AU,11
MA,111,College Math for Aviation I,A,12
MA,111,College Math for Aviation I,B,14
MA,006,Intermediate Algebra,D,15
MA,111,College Math for Aviation I,C,16
MA,111,College Math for Aviation I,C,17
MA,006,Intermediate Algebra,D,18
MA,241,Calculus & Analytical Geom I,W,19
MA,241,Calculus & Analytical Geom I,W,22
MA,006,Intermediate Algebra,W,23
MA,006,Intermediate Algebra,F,24
MA,241,Calculus & Analytical Geom I,B,25
MA,120,Quantitative Methods I,A,26
MA,111,College Math for Aviation I,D,27
MA,111,College Math for Aviation I,B,28
MA,241,Calculus & Analytical Geom I,A,29
MA,243,Calculus & Analytical Geom III,A,31
MA,241,Calculus & Analytical Geom I,C,32
MA,006,Intermediate Algebra,C,33
MA,111,College Math for Aviation I,D,34
MA,241,Calculus & Analytical Geom I,A,35
MA,111,College Math for Aviation I,C,36
MA,006,Intermediate Algebra,F,37
MA,241,Calculus & Analytical Geom I,C,38
MA,345,Differential Eq & Matrix Meth,B,39
MA,112,College Math for Aviation II,C,40
MA,006,Intermediate Algebra,B,41
MA,111,College Math for Aviation I,F,42
MA,112,College Math for Aviation II,A,43
MA,140,College Algebra,D,44
MA,142,Trigonometry,D,44
MA,345,Differential Eq & Matrix Meth,B,46
MA,241,Calculus & Analytical Geom I,F,47
MA,006,Intermediate Algebra,D,48
MA,241,Calculus & Analytical Geom I,F,49
MA,006,Intermediate Algebra,D,50
MA,242,Calculus & Analytical Geom II,F,51
MA,112,College Math for Aviation II,A,52
MA,242,Calculus & Analytical Geom II,F,53
MA,111,College Math for Aviation I,F,54
MA,241,Calculus & Analytical Geom I,A,55
MA,112,College Math for Aviation II,A,57
MA,006,Intermediate Algebra,F,58
MA,241,Calculus & Analytical Geom I,F,59
MA,006,Intermediate Algebra,F,60
MA,006,Intermediate Algebra,F,61
MA,006,Intermediate Algebra,C,62
MA,241,Calculus & Analytical Geom I,B,63
MA,243,Calculus & Analytical Geom III,B,64
MA,111,College Math for Aviation I,B,65
MA,241,Calculus & Analytical Geom I,B,66
MA,006,Intermediate Algebra,C,67
MA,242,Calculus & Analytical Geom II,B,68
MA,006,Intermediate Algebra,D,69
MA,111,College Math for Aviation I,C,70
MA,142,Trigonometry, ,71
MA,241,Calculus & Analytical Geom I,W,71
MA,111,College Math for Aviation I,B,72
MA,006,Intermediate Algebra,F,73
MA,111,College Math for Aviation I,C,74
MA,241,Calculus & Analytical Geom I,A,75
MA,112,College Math for Aviation II,B,76
MA,242,Calculus & Analytical Geom II,A,77
MA,006,Intermediate Algebra,B,78
MA,111,College Math for Aviation I,A,79
MA,241,Calculus & Analytical Geom I,F,80
MA,112,College Math for Aviation II,B,81
MA,399,Special Topics in Mathematics,A,82
MA,441,Advanced Engineering Math I,A,82
MA,006,Intermediate Algebra,F,83
MA,140,College Algebra,D,84
MA,142,Trigonometry,D,84
MA,243,Calculus & Analytical Geom III,B,85
MA,241,Calculus & Analytical Geom I,C,87
MA,006,Intermediate Algebra,B,88
MA,111,College Math for Aviation I,A,89
MA,111,College Math for Aviation I,D,90
MA,112,College Math for Aviation II,A,91
MA,241,Calculus & Analytical Geom I,B,92
MA,112,College Math for Aviation II,C,93
MA,006,Intermediate Algebra,F,94
MA,111,College Math for Aviation I,F,95
MA,142,Trigonometry,C,97
MA,243,Calculus & Analytical Geom III,C,98
MA,242,Calculus & Analytical Geom II,A,99
MA,241,Calculus & Analytical Geom I,A,100
MA,242,Calculus & Analytical Geom II,B,101
MA,006,Intermediate Algebra,C,102
MA,242,Calculus & Analytical Geom II,B,103
MA,112,College Math for Aviation II,D,104
MA,120,Quantitative Methods I,B,105
MA,006,Intermediate Algebra,A,106
MA,345,Differential Eq & Matrix Meth,F,107
MA,111,College Math for Aviation I,D,108
MA,241,Calculus & Analytical Geom I,B,109
MA,111,College Math for Aviation I,F,110
MA,112,College Math for Aviation II,A,111
MA,241,Calculus & Analytical Geom I,C,112
MA,242,Calculus & Analytical Geom II,C,114
MA,111,College Math for Aviation I,A,115
MA,241,Calculus & Analytical Geom I,A,117
MA,111,College Math for Aviation I,B,118
MA,006,Intermediate Algebra,C,119
MA,241,Calculus & Analytical Geom I,F,120
MA,243,Calculus & Analytical Geom III,B,121
MA,140,College Algebra,B,122
MA,142,Trigonometry,B,122
MA,111,College Math for Aviation I,B,123
MA,140,College Algebra,A,124
MA,142,Trigonometry,A,124
MA,006,Intermediate Algebra,C,125
MA,140,College Algebra,AU,126
MA,142,Trigonometry,D,126
MA,241,Calculus & Analytical Geom I,B,127
MA,111,College Math for Aviation I,W,128
MA,006,Intermediate Algebra,AU,129
MA,111,College Math for Aviation I,AU,130
MA,241,Calculus & Analytical Geom I,B,131
MA,111,College Math for Aviation I,B,132
MA,241,Calculus & Analytical Geom I,D,134
MA,111,College Math for Aviation I,D,135
MA,112,College Math for Aviation II,F,136
MA,006,Intermediate Algebra,A,137
MA,112,College Math for Aviation II,A,138
MA,111,College Math for Aviation I,B,139
MA,006,Intermediate Algebra,C,140
MA,006,Intermediate Algebra,C,141
MA,111,College Math for Aviation I,D,142
MA,242,Calculus & Analytical Geom II,B,143
