CASENUM,TERM1,HSGPA,HSRANK,ACT,ACTENG,ACTMATH,ACTSCI,ACTSOC,SATV,SATM,SAT,SEX,ETHNIC,TERMHRS,ACADPLAN1,TERM1GPA,TERM2,CAMPUS2,CLASS2,ACADPLAN2,CUMHRS2,CUMGPA2,RATE,RATE.WSD
1,FALL 12,2.03, ,21,20,17, , , , , ,Male,White,13,DBSAS,0.923,FALL 12,DAYTONA BEACH,Freshman,DBSAS,0, ,Attrited,Withdrew Voluntarily
2,FALL 12,3.3, , , , , , ,530,530,1060,Male,Race/Ethnicity Unknown,15,DBSAS,3.4,FALL 15,DAYTONA BEACH,Senior,DBSAS,122,3.25,Returned,Returned
3,FALL 12,3.6,35.09234828, , , , , ,460,540,1000,Female,Two or more races,15,DBSME,2.267,SPRING 15,DAYTONA BEACH,Junior,DBSAMS,64,2.31,Attrited,Withdrew Voluntarily
4,FALL 12,3.88, , , , , , ,370,380,750,Male,Two or more races,14,DBSAS,1.923,FALL 15,DAYTONA BEACH,Junior,DBSUAS,77,2.7,Returned,Returned
5,FALL 12, ,10,19,17,23,20,16,450,460,910,Male,Two or more races,13,DBSAE,1.154,FALL 15,DAYTONA BEACH,Senior,DBSUAS,90,2.19,Returned,Returned
6,FALL 12,3.48, , , , , , ,500,550,1050,Male,White,14,DBSAS,3.385,SPRING 14,DAYTONA BEACH,Sophomore,DBSAS,44,3.11,Attrited,Withdrew Voluntarily
7,FALL 12,2.9,37.33333333, , , , , ,540,450,990,Male,Black/African American,15,DBSAS,0.286,SPRING 13,DAYTONA BEACH,Freshman,DBSUAS,1,0.286,Attrited,Suspended or Dismissed
8,FALL 12,3.3,48.57142857, , , , , ,500,490,990,Male,White,14,DBSAS,3.462,FALL 15,DAYTONA BEACH,Junior,DBSAS,85,2.96,Returned,Returned
9,FALL 12,3.67,42.70152505,25,24,28, , ,450,600,1050,Male,White,13,DBSAE,2.308,FALL 15,DAYTONA BEACH,Junior,DBSAE,69,2.52,Returned,Returned
10,FALL 12,4, ,30,34,28,28,27, , , ,Male,White,16,DBSEP,4,FALL 15,DAYTONA BEACH,Senior,DBSEP,111,4,Returned,Returned
11,FALL 12,3.87, , , , , , ,620,550,1170,Male,White,14,DBSAE,2.643,FALL 15,DAYTONA BEACH,Senior,DBSAS,111,3.09,Returned,Returned
12,FALL 12,3.3,28.94280763,25,24,26, , ,490,530,1020,Male,White,16,DBSAS,1.6,FALL 15,DAYTONA BEACH,Senior,DBSAS,104,2.65,Returned,Returned
13,FALL 12,4, , , , , , ,540,510,1050,Male,Hispanic/Latino,15,DBSAE,2.6,FALL 15,DAYTONA BEACH,Junior,DBSAE,87,2.43,Returned,Returned
14,FALL 12,4.11, , , , , , ,580,530,1110,Male,White,16,DBSAS,3.6,FALL 15,DAYTONA BEACH,Senior,DBSAS,101,3.76,Returned,Returned
15,FALL 12,3.86,35.69405099,20,20,24,20,16,430,480,910,Male,Hispanic/Latino,16,DBSAS,1.688,SPRING 13,DAYTONA BEACH,Freshman,DBSAS,13,1.688,Attrited,Withdrew Voluntarily
16,FALL 12,3.64,11.07784431, , , , , ,450,490,940,Male,Two or more races,17,DBSAS,1.563,SPRING 13,DAYTONA BEACH,Sophomore,DBSAS,37,2.108,Attrited,Withdrew Voluntarily
17,FALL 12,2.44,70, , , , , ,500,580,1080,Male,Two or more races,15,DBSBA,1.75,SPRING 15,DAYTONA BEACH,Senior,DBSBA,131,2.39,Attrited,Withdrew Voluntarily
18,FALL 12,3, ,21,16,24,25,17,430,620,1050,Female,Two or more races,16,DBSAS,2.133,FALL 15,DAYTONA BEACH,Senior,DBSAS,96,2.75,Returned,Returned
19,FALL 12,3.9,8.588957055,28,24,28,29,30, , , ,Male,White,15,DBSAMET,3.733,SPRING 14,DAYTONA BEACH,Sophomore,DBSAMET,43,3.49,Attrited,Withdrew Voluntarily
20,FALL 12,3.4,45.21072797,20,18,19,22,20,450,400,850,Male,White,14,DBSATM,2.357,SPRING 13,DAYTONA BEACH,Freshman,DBSATM,14,2.357,Attrited,Withdrew Voluntarily
21,FALL 12,4.49,30.47404063,23,27,24,23,17, , , ,Male,White,16,DBSAS,2.833,FALL 15,DAYTONA BEACH,Junior,DBSAOS,79,2.94,Returned,Returned
22,FALL 12,3.9,27.65957447,20,18,20, , ,470,470,940,Female,Race/Ethnicity Unknown,16,DBSAMS,2.313,SPRING 13,DAYTONA BEACH,Freshman,DBSAMS,16,2.313,Attrited,Withdrew Voluntarily
23,FALL 12,3.93,18,29,32,30, , ,610,660,1270,Male,White,15,DBSAE,1,SPRING 13,DAYTONA BEACH,Freshman,DBSAE,25,1,Attrited,Withdrew Voluntarily
24,FALL 12,2.5, ,19,21,17,17,21, , , ,Male,Black/African American,16,DBSBA,1.688,FALL 13,DAYTONA BEACH,Freshman,DBSBA,16,1.44,Attrited,Suspended or Dismissed
25,FALL 12,3.06, ,20,19,23, , ,490,530,1020,Male,White,17,DBSAE,1.727,FALL 15,DAYTONA BEACH,Senior,DBSUAS,101,3.35,Returned,Returned
26,FALL 12,3.66,37.66423358,23,21,22,24,26,540,490,1030,Male,White,16,DBSAS,2.4,FALL 15,DAYTONA BEACH,Senior,DBSA,99,2.67,Returned,Returned
27,FALL 12,3.84,14.96437055,24,23,27, , ,680,710,1390,Female,White,16,DBSME,2.938,FALL 15,DAYTONA BEACH,Senior,DBSME,113,2.85,Returned,Returned
28,FALL 12,3.59, ,17,19,16,15,19,480,460,940,Male,Race/Ethnicity Unknown,14,DBSAS,1.846,SPRING 13,DAYTONA BEACH,Freshman,DBSAS,19,1.846,Attrited,Withdrew Voluntarily
29,FALL 12,2.92, , , , , , ,420,610,1030,Male,White,16,DBSAS,3.467,FALL 15,DAYTONA BEACH,Senior,DBSAS,97,3.2,Returned,Returned
30,FALL 12, ,34.55377574,16,15,13,18,17,400,400,800,Male,Race/Ethnicity Unknown,13,DBSAS,1.417,FALL 12,DAYTONA BEACH,Freshman,DBSAS,0, ,Attrited,Withdrew Voluntarily
31,FALL 12,4, , , , , , ,520,700,1220,Male,White,14,DBSAS,3.571,FALL 15,DAYTONA BEACH,Senior,DBSAS,110,3.71,Returned,Returned
32,FALL 12,3.81,33.33333333,29,28,28,28,30,580,600,1180,Male,Two or more races,16,DBSAS,3.4,FALL 15,DAYTONA BEACH,Senior,DBSAS,114,3.13,Returned,Returned
33,FALL 12,4.665, ,30,34,33, , ,700,680,1380,Male,Race/Ethnicity Unknown,14,DBSAE,4,FALL 15,DAYTONA BEACH,Senior,DBSAE,135,3.7,Returned,Returned
34,FALL 12,3.65,20.9039548, , , , , ,500,530,1030,Male,Race/Ethnicity Unknown,15,DBSAE,3.267,FALL 15,DAYTONA BEACH,Senior,DBSAE,104,3.18,Returned,Returned
35,FALL 12,3.53, ,28,31,26,27,26,640,640,1280,Male,Hispanic/Latino,17,DBSAE,3.647,FALL 15,DAYTONA BEACH,Senior,DBSAE,146,3.53,Returned,Returned
36,FALL 12,3.13, ,24,19,27,24,26,520,540,1060,Male,Race/Ethnicity Unknown,16,DBSAE,1.813,SPRING 15,DAYTONA BEACH,Sophomore,DBSAE,52,2.13,Attrited,Suspended or Dismissed
37,FALL 12,3.444,35.50387597, , , , , ,530,480,1010,Male,White,15,DBSAMS,1.6,FALL 13,DAYTONA BEACH,Sophomore,DBSAMS,30,1.53,Attrited,Suspended or Dismissed
38,FALL 12,4, ,26,26,28,27,22, , , ,Male,White,14,DBSAS,4,FALL 14,DAYTONA BEACH,Senior,DBSAS,106,3.96,Graduated,Graduated
39,FALL 12,3.08,52.12598425, , , , , ,530,620,1150,Male,Black/African American,16,DBSAS,3.067,FALL 15,DAYTONA BEACH,Senior,DBSA,92,3.47,Returned,Returned
40,FALL 12,3.3,31.2, , , , , ,610,660,1270,Male,White,16,DBSAS,2.875,SUMMER 15,DAYTONA BEACH,Senior,DBSAS,119,3.28,Graduated,Graduated
41,FALL 12,4.01,12.98405467,27,31,30,27,25, , , ,Male,Hispanic/Latino,15,DBSAMET,4,FALL 15,DAYTONA BEACH,Senior,DBSMET,94,3.73,Returned,Returned
42,FALL 12,3.42, , , , , , ,470,530,1000,Male,White,15,DBSAE,3.267,FALL 15,DAYTONA BEACH,Senior,DBSHFP,115,3.09,Returned,Returned
43,FALL 12,4.36,3.819444444,28,24,28,30,30,620,650,1270,Male,White,15,DBSUAS,3.267,SPRING 14,DAYTONA BEACH,Junior,DBSUAS,78,2.65,Attrited,Withdrew Voluntarily
44,FALL 12,3.35,37.47747748,25,21,23,26,29,550,500,1050,Male,White,12,DBSAE,2.417,FALL 15,DAYTONA BEACH,Sophomore,DSEENG,54,2.38,Returned,Returned
45,FALL 12,3.12, , , , , , ,500,580,1080,Male,White,15,DBSAE,0.933,SPRING 13,DAYTONA BEACH,Freshman,DBSAE,9,0.933,Attrited,Suspended or Dismissed
46,FALL 12,4,10.58394161, , , , , ,630,670,1300,Male,White,16,DBSAS,3.25,FALL 15,DAYTONA BEACH,Senior,DBSAS,114,3.54,Returned,Returned
47,FALL 12,3.35,44.44444444, , , , , ,720,580,1300,Male,White,16,DBSME,2.813,SPRING 13,DAYTONA BEACH,Freshman,DBSME,16,2.813,Attrited,Withdrew Voluntarily
48,FALL 12,3.54,50.27700831,25,22,29,26,24,490,650,1140,Male,Two or more races,16,DSEENG,1.375,SPRING 14,DAYTONA BEACH,Sophomore,DSEENG,32,2.07,Attrited,Withdrew Voluntarily
49,FALL 12,2.3,80.52631579, , , , , , , , ,Male,White,14,DBSA,1.333,SPRING 13,DAYTONA BEACH,Sophomore,DBSA,36,1.333,Attrited,Withdrew Voluntarily
50,FALL 12,2.7, , , , , , ,490,510,1000,Male,White,13,DBSAS,3.25,FALL 15,DAYTONA BEACH,Senior,DBSAS,101,2.77,Returned,Returned
51,FALL 12,3.43, ,19,18,22,17,19, , , ,Male,Two or more races,12,DSEENG,1.667,FALL 13,DAYTONA BEACH,Freshman,DBSEP,17,1.44,Attrited,Suspended or Dismissed
52,FALL 12,3.92, ,29,26,32,32,26, , , ,Male,White,16,DBSAE,3.313,FALL 12,DAYTONA BEACH,Freshman,DBSAE,17, ,Attrited,Withdrew Voluntarily
53,FALL 12,3.4,20.65868263, , , , , ,440,450,890,Male,Black/African American,14,DBSATM,2.429,FALL 15,DAYTONA BEACH,Junior,DBSAS,82,2.64,Returned,Returned
54,FALL 12,4.5,1.19760479, , , , , ,510,530,1040,Male,White,16,DBSAS,2.583,FALL 15,DAYTONA BEACH,Senior,DBSA,90,2.89,Returned,Returned
55,FALL 12,3.6,11.37724551, , , , , ,490,550,1040,Male,Asian,12,DBSAMS,2.25,FALL 15,DAYTONA BEACH,Junior,DASAMS,71,2.7,Returned,Returned
56,FALL 12,3.45,20, , , , , ,460,490,950,Male,Two or more races,12,DBSAMS,0,SPRING 13,DAYTONA BEACH,Freshman,DBSAMS,25,2.147,Attrited,Suspended or Dismissed
57,FALL 12,4.2,0.320512821, , , , , ,590,590,1180,Male,Black/African American,16,DBSAE,3,SPRING 13,DAYTONA BEACH,Sophomore,DBSAE,31,3,Attrited,Withdrew Voluntarily
58,FALL 12,2, , , , , , ,560,500,1060,Male,White,16,DBSAS,2.667,FALL 15,DAYTONA BEACH,Junior,DBSAS,71,3.13,Returned,Returned
59,FALL 12,3.22,70.24793388,22,22,21,23,21,490,470,960,Male,Two or more races,16,DBSAS,3.467,FALL 15,DAYTONA BEACH,Senior,DBSAS,88,2.88,Returned,Returned
60,FALL 12,4.8, ,28,24,27,31,31,560,650,1210,Female,White,16,DBSATM,3.625,SPRING 15,DAYTONA BEACH,Senior,DBSATM,113,3.6,Graduated,Graduated
61,FALL 12,4, ,26,21,26,31,27, , , ,Female,American Indian/Alaskan Native,14,DBSAE,2.643,FALL 15,DAYTONA BEACH,Junior,DBSHSEC,87,3.51,Returned,Returned
62,FALL 12,3.16, , , , , , ,370,630,1000,Male,White,16,DBSAS,2.438,FALL 13,DAYTONA BEACH,Sophomore,DBSAS,31,2.79,Attrited,Withdrew Voluntarily
63,FALL 12,3.29,29.97032641,22,22,22,25,19, , , ,Male,Hispanic/Latino,15,DBSATM,3.2,FALL 14,DAYTONA BEACH,Senior,DBSATM,106,3.39,Graduated,Graduated
64,FALL 12,5.5, , , , , , ,530,700,1230,Male,Race/Ethnicity Unknown,16,DBSAE,2.188,SUMMER 15,DAYTONA BEACH,Senior,DBSAE,104,2.76,Attrited,Withdrew Voluntarily
65,FALL 12,4, ,31,31,31,31,31, , , ,Male,White,16,DBSAE,3.813,FALL 15,DAYTONA BEACH,Senior,DBSAE,126,3.27,Returned,Returned
66,FALL 12,3.69, ,29,27,29,31,32,620,680,1300,Female,White,15,DBSAE,3.067,FALL 15,DAYTONA BEACH,Senior,DBSME,114,3.5,Returned,Returned
67,FALL 12,2.99, ,20,20,22,21,18, , , ,Male,White,15,DBSAS,2.429,SUMMER 14,DAYTONA BEACH,Junior,DBSAS,59,2.68,Attrited,Withdrew Voluntarily
68,FALL 12,3.25,70.37037037,19,17,19,20,18, , , ,Male,Two or more races,16,DBSAS,2.733,FALL 15,DAYTONA BEACH,Senior,DBSAS,90,3.03,Returned,Returned
69,FALL 12,3.97,9.056603774, , , , , ,580,700,1280,Male,White,17,DBSAE,2.824,FALL 15,DAYTONA BEACH,Senior,DBSME,116,3.48,Returned,Returned
70,FALL 12,4, ,32,31,31,32,32,670,680,1350,Male,White,16,DBSME,3.563,FALL 15,DAYTONA BEACH,Senior,DBSME,90,3.26,Returned,Returned
71,FALL 12,4.33, ,28,26,28,28,28,580,660,1240,Male,White,16,DBSAE,2.938,FALL 15,DAYTONA BEACH,Senior,DBSAE,125,3.46,Returned,Returned
72,FALL 12,3.01,96.59863946, , , , , , , , ,Male,White,16,DBSAS,1.125,FALL 13,DAYTONA BEACH,Senior,DBSA,106,2.02,Attrited,Withdrew Voluntarily
73,FALL 12,3.9, , , , , , , , , ,Male,Race/Ethnicity Unknown,13,DBSAS,3.077,SPRING 15,DAYTONA BEACH,Junior,DBSAS,67,2.5,Attrited,Withdrew Voluntarily
74,FALL 12,4.5,8.79541109, , , , , ,590,680,1270,Male,White,13,DBSAE,3.308,FALL 15,DAYTONA BEACH,Junior,DBSAE,86,3.21,Returned,Returned
75,FALL 12, , , , , , , , , , ,Male,Two or more races,16,DBSAS,2.9,SPRING 13,DAYTONA BEACH,Sophomore,DBSAS,32,2.9,Attrited,Suspended or Dismissed
76,FALL 12,4, , , , , , ,660,630,1290,Male,Two or more races,16,DBSAE,3.625,FALL 15,DAYTONA BEACH,Senior,DBSME,90,2.7,Returned,Returned
